Employee_ID,First_Name,Last_Name,Branch,Role,Hire Date,Departure Date,Salary,Status,Reason For Leaving,Experience,Time to Hire,Age,Gender,Hire Source,Year,Training Cost,Province,Training Period,Time to Hire.1,Recruiting Cost,Average Tenure_per_group,Turnover Rate_per_group,Hiring Rate_per_group,RecordID,Recruitment Expenditure,Recruitment Budget,Variance
44428,Lance,Petersen,Cont Substances&Cannabis Br,Compliance Officer,02/23/2022,07/31/2023,76000,Not Active,Management and Leadership,18,2M,24,Male,Referral,2022,6000,Quebec,60,70,8500,4.591212316,32.5,167.5,1119,154913.83,388046.81,233132.98
47991,Christine,Thompson,Cont Substances&Cannabis Br,Compliance Officer,10/17/2022,,48000,Active,,4,2M,51,Female,Referral,2022,6000,Ontario,60,30,8000,4.591212316,32.5,167.5,1119,154913.83,388046.81,233132.98
51025,Erin,Foster,Cont Substances&Cannabis Br,Compliance Officer,06/22/2022,,64000,Active,,12,1M,43,Male,Referral,2022,6000,Ontario,60,70,10500,4.591212316,32.5,167.5,1119,154913.83,388046.81,233132.98
19911,Carla,Blackwell,Cont Substances&Cannabis Br,Compliance Officer,07/07/2022,,76000,Active,,18,2M,52,Female,Job Board,2022,6000,Quebec,60,40,7000,4.591212316,32.5,167.5,1119,154913.83,388046.81,233132.98
21274,Alice,Shelton,Cont Substances&Cannabis Br,Compliance Officer,09/14/2022,10/28/2024,56000,Notice Period,Location,8,1M,44,Male,Referral,2022,6000,Saskatchewan,60,100,9000,4.591212316,32.5,167.5,1119,154913.83,388046.81,233132.98
14188,Jeffrey,Garcia,Cont Substances&Cannabis Br,Compliance Officer,12/28/2022,10/29/2024,68000,Notice Period,Career Advancement,14,1M,51,Female,Job Board,2022,6000,Ontario,60,65,10000,4.591212316,32.5,167.5,1119,154913.83,388046.81,233132.98
73291,Sarah,Mason,Cont Substances&Cannabis Br,Compliance Officer,07/15/2022,,62000,Active,,11,2M,37,Male,Job Board,2022,6000,Quebec,60,63,9500,4.591212316,32.5,167.5,1119,154913.83,388046.81,233132.98
62781,Stephen,Rodriguez,Cont Substances&Cannabis Br,Compliance Officer,07/21/2022,,54000,Active,,7,1M,53,Male,Job Board,2022,6000,Ontario,60,95,9000,4.591212316,32.5,167.5,1119,154913.83,388046.81,233132.98
58753,Ruth,Mcdonald,Cont Substances&Cannabis Br,Compliance Officer,10/27/2022,05/15/2024,46000,Not Active,Career Advancement,3,1M,31,Female,Job Board,2022,6000,Newfoundland and Labrador,60,85,10500,4.591212316,32.5,167.5,1119,154913.83,388046.81,233132.98
80521,Pamela,Mejia,Cont Substances&Cannabis Br,Compliance Officer,02/25/2022,09/28/2024,62000,Notice Period,Location,11,1M,36,Male,Referral,2022,6000,British Columbia,60,30,8000,4.591212316,32.5,167.5,1119,154913.83,388046.81,233132.98
36921,Richard,Velez,Cont Substances&Cannabis Br,Compliance Officer,02/26/2022,11/10/2023,62000,Not Active,Job Security,11,2M,48,Female,Job Board,2022,6000,Alberta,60,63,9500,4.591212316,32.5,167.5,1119,154913.83,388046.81,233132.98
70696,Tony,Stevens,Cont Substances&Cannabis Br,Compliance Officer,12/30/2022,10/16/2024,80000,Notice Period,Company Culture,20,1M,52,Male,Referral,2022,6000,Alberta,60,25,9500,4.591212316,32.5,167.5,1119,154913.83,388046.81,233132.98
61623,Cindy,Ramirez,Cont Substances&Cannabis Br,Compliance Officer,04/23/2022,,72000,Active,,16,1M,45,Male,Job Board,2022,6000,Quebec,60,100,9000,4.591212316,32.5,167.5,1119,154913.83,388046.81,233132.98
